	kernel1	kernel2	kernel3	kernel4	kernel5	kernel6	kernel7	stride1	stride2	stride3	stride4	stride5	stride6	stride7	cross-validation-avg-r2
208	32	16	32	36	10	4	40	2	2	4	7	6	7	6	0.5244489302819768
209	6	20	4	38	32	14	36	3	2	2	5	3	4	6	0.5206493189992755
210	30	38	24	16	8	14	32	3	3	3	7	3	6	5	0.5091079221221798
211	30	28	10	34	26	2	26	4	2	3	6	4	3	5	0.5145718199914513
212	38	20	38	22	24	30	24	4	4	2	5	6	6	4	0.47155206471559347
213	30	24	22	26	22	30	4	4	2	3	6	7	6	7	0.51407037913111
214	34	2	36	32	20	8	12	2	2	3	6	5	3	5	0.5122528682408275
215	24	4	24	10	18	6	38	3	2	2	6	2	6	6	0.5204179378569395
216	38	30	22	38	38	4	4	3	2	3	3	7	7	2	0.4877849683423001
217	6	6	14	32	28	12	2	2	2	2	5	3	2	4	0.4974334426079213
218	32	26	30	40	18	16	24	3	3	2	6	3	6	4	0.5056674348571986
219	34	18	6	32	36	12	2	2	3	3	7	3	4	6	0.5124799842355043
220	36	16	38	4	18	4	22	3	2	6	2	3	3	3	0.47041209270631934
221	36	16	18	4	2	18	6	5	2	3	3	8	8	5	0.5031742583593739
222	38	26	30	8	20	36	4	2	7	3	5	5	7	5	0.41652323547395287
223	24	26	34	24	38	26	38	2	3	3	6	5	7	8	0.51367054022027
224	24	12	4	34	16	32	12	4	6	5	5	5	3	8	0.3481420750367627
225	40	38	6	40	16	28	2	3	2	3	8	6	6	3	0.458221055466332
226	2	36	30	38	26	20	34	3	2	4	7	7	5	5	0.4941333748483821
227	28	28	14	6	38	28	4	2	3	4	3	5	5	5	0.513042546375441
228	32	34	34	22	32	6	34	3	4	3	5	3	5	7	0.49038319399340374
229	26	36	22	14	8	34	8	5	3	3	4	5	8	4	0.4796780571387867
230	34	12	18	8	16	32	2	3	2	2	6	3	3	2	0.4881632523855404
231	16	36	12	4	14	10	20	2	2	3	6	6	5	3	0.4217074491775564
232	22	16	38	26	8	4	14	5	2	2	7	8	6	7	0.5055366519866805
233	36	28	28	6	36	8	34	3	3	4	7	2	5	7	0.4728142625851513
234	30	34	34	10	36	24	28	2	2	2	5	6	6	7	0.526204201308578
235	20	40	40	24	34	24	4	2	4	2	4	6	4	3	0.4961457116415562
236	10	34	22	24	8	38	26	2	3	3	4	6	2	4	0.5055542219774005
237	8	22	14	8	18	28	22	2	2	3	7	2	2	8	0.5201974322717773
238	36	10	24	4	32	28	2	2	2	4	2	3	5	3	0.5248819827319923
